id,year,title,actors,regions,summary,lat,lng,sources
evt-4500-mesopotamia,-4500,美索不達米亞農耕文化形成,"","中東",兩河流域出現組織化農耕社會並奠定早期文明發展基礎,33.3128,44.3615,""
evt-3100-egypt-unification,-3100,古埃及初步統一,"古埃及","北非",上埃及與下埃及完成政治整合並建立王朝國家,26.184,31.92,""
evt-2600-indus,-2600,印度河文明城市化,"","南亞",摩亨佐達羅與哈拉帕等城市體系逐步形成,27.3294,68.1386,""
evt-221-qin-unification,-221,秦朝統一六國,"秦朝","東亞",秦完成大一統並建立中央集權帝國框架,34.3416,108.9398,""
evt-202-han-foundation,-202,西漢建立,"西漢","東亞",漢朝建立後逐步恢復秩序並擴張統治能力,34.3416,108.9398,""
evt-146-carthage-fall,-146,迦太基覆滅,"羅馬共和國","南歐,北非",第三次布匿戰爭後羅馬取得地中海主導權,36.8529,10.323,""
evt-44-caesar,-44,凱撒遇刺,"羅馬共和國","南歐",共和末期權力衝突加劇並引發後續內戰,41.9028,12.4964,""
evt-27-augustus,27,羅馬帝國體制成形,"羅馬帝國","南歐",屋大維成為奧古斯都後帝國時代正式展開,41.9028,12.4964,""
evt-313-milan,313,米蘭敕令,"羅馬帝國","南歐",帝國承認基督教合法地位並改變宗教政策方向,45.4642,9.19,""
evt-476-west-rome,476,西羅馬秩序終結,"羅馬帝國","南歐",西羅馬政治結構瓦解並進入後羅馬重組時期,44.4184,12.2035,""
evt-622-hijra,622,希吉拉遷徙,"","西亞",穆罕默德遷往麥地那成為伊斯蘭歷史關鍵轉折,24.5247,39.5692,""
evt-650-srivijaya,650,室利佛逝興起,"","東南亞",海上貿易政權在蘇門答臘崛起並影響航線網路,-2.9761,104.7754,""
evt-697-venice-doge,697,威尼斯選出首位總督,"威尼斯共和","南歐",威尼斯共和制度逐步成形並強化自治結構,45.4408,12.3155,""
evt-800-charlemagne,800,查理曼加冕皇帝,"法蘭克王國","西歐",西歐政治宗教秩序再整合並提升帝國象徵性,50.7753,6.0839,""
evt-960-song,960,北宋建立,"宋朝","東亞",宋朝建立後推動行政與經濟治理轉型,34.797,114.307,""
evt-1066-norman,1066,諾曼征服英格蘭,"諾曼人,英格蘭王國","英國,西歐",征服重塑英格蘭貴族結構與王權制度,50.8552,0.5729,""
evt-1099-jerusalem,1099,十字軍攻佔耶路撒冷,"十字軍,法蒂瑪","西亞",第一波十字軍建立拉丁王國並改變地區格局,31.7683,35.2137,""
evt-1204-constantinople,1204,第四次十字軍攻陷君士坦丁堡,"威尼斯共和,拜占庭","南歐,西亞",拜占庭核心遭受重創並導致長期衰弱,41.0082,28.9784,""
evt-1206-mongol,1206,蒙古帝國建立,"蒙古帝國","東亞",成吉思汗整合草原部族並展開跨歐亞擴張,47.197,102.84,""
evt-1271-yuan,1271,元朝建立,"元朝","東亞",忽必烈建元後重組東亞政治秩序,39.9042,116.4074,""
evt-1299-ottoman,1299,鄂圖曼帝國建立,"鄂圖曼","中東,東歐,西亞",奧斯曼一世建國並開啟跨洲帝國擴張,40.0205,30.1829,""
evt-1337-hyw-start,1337,百年戰爭開端,"法蘭西王國,英格蘭王國","英國,西歐",英法王位與領土爭議升級為長期戰爭,48.8566,2.3522,""
evt-1368-ming,1368,明朝建立,"明朝","東亞",元末戰亂後明朝重建中央政權與秩序,32.0603,118.7969,""
evt-1415-agincourt,1415,阿金庫爾戰役,"法蘭西王國,英格蘭王國","英國,西歐",英軍取勝並改變百年戰爭短期態勢,50.4588,2.1424,""
evt-1429-orleans,1429,奧爾良解圍,"法蘭西王國,英格蘭王國","英國,西歐",法軍士氣回升並逐步逆轉戰場主動權,47.903,1.9093,""
evt-1453-constantinople-fall,1453,君士坦丁堡陷落,"拜占庭,鄂圖曼","西亞",鄂圖曼攻克都城後東羅馬帝國終結,41.0082,28.9784,""
evt-1492-granada,1492,格拉納達陷落,"卡斯提亞王國,納斯里王朝","西歐",伊比利亞半島權力版圖完成關鍵轉變,37.1773,-3.5986,""
evt-1517-reformation,1517,宗教改革爆發,"神聖羅馬帝國,天主教會","西歐",路德發表九十五條後歐洲宗教政治深刻重構,51.8661,12.6483,""
evt-1517-egypt-conquest,1517,鄂圖曼征服埃及,"鄂圖曼,馬穆魯克","中東,北非,西亞",馬穆魯克政權終結並納入鄂圖曼體系,30.0444,31.2357,""
evt-1600-sekigahara,1600,關原之戰,"幕府時代","東亞",德川家康取勝並奠定全國主導地位,35.365,136.47,""
evt-1603-tokugawa,1603,江戶幕府建立,"幕府時代","東亞",幕藩體制成形並進入相對穩定治理期,35.6764,139.65,""
evt-1644-qing-beijing,1644,清軍入關控制北京,"清朝,明朝","東亞",王朝更替完成並重塑東亞政治中心,39.9042,116.4074,""
evt-1683-vienna,1683,維也納之戰,"哈布斯堡王朝,鄂圖曼","東歐,西亞",鄂圖曼受挫後中東歐勢力平衡轉向,48.2082,16.3738,""
evt-1707-union,1707,大不列顛王國成立,"英格蘭王國,蘇格蘭王國","英國,西歐",英蘇議會合併後形成新政治共同體,51.5072,-0.1276,""
evt-1721-russian-empire,1721,俄羅斯帝國成立,"俄羅斯帝國","東歐",彼得一世改稱皇帝後帝國體制確立,59.9311,30.3609,""
evt-1776-us-independence,1776,美國獨立宣言,"大不列顛,十三州","北美",北美殖民地宣布獨立並啟動新國家建構,39.9526,-75.1652,""
evt-1789-french-revolution,1789,法國大革命,"法蘭西王國","西歐",舊制度崩解並推動現代政治觀念擴散,48.8566,2.3522,""
